type,uri,labels,definitions,editor_notes,examples,statuses,human_friendly_names,name_of_editors,alternative_names,citations
C,http://purl.obolibrary.org/obo/CRO_0000043,data standards developer role,"Development of ontology, terminology, code lists, etc.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000045,educational material development role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000046,educational program development role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000047,educational instruction role,,This may be equivalent to vivo:Teacher Role.,,,,,teaching role|instruction role,
C,http://purl.obolibrary.org/obo/CRO_0000048,hardware systems role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000049,software systems role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000050,database administrator role,,,,,,,database administration role,
C,http://purl.obolibrary.org/obo/CRO_0000051,system administrator role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000052,guideline development role,,,,,,,Best Practices Role,
C,http://purl.obolibrary.org/obo/CRO_0000053,protocol creation role,,,,,,,protocol development role,
C,http://purl.obolibrary.org/obo/CRO_0000054,standard operating procedure development role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000055,study design role,"Detailed design of study components including data collection, analysis, and dissemination.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000056,technique development role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000057,device development role,,,,,,,instrument development role,
C,http://purl.obolibrary.org/obo/CRO_0000058,equipment technician role,,,,,,,instrument technician role,
C,http://purl.obolibrary.org/obo/CRO_0000059,survey and questionnaire role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000060,code review role,Examination of software code to identify build-breaking changes prior to acceptance into a codebase.,,,,,,software code review role,
C,http://purl.obolibrary.org/obo/CRO_0000061,computer programming role,"Requirements analysis, algorithm development, and implementation of software in a computer programming language.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000062,software architecture role,Creation of high-level structures of a software system.,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000063,software design role,Creation of low-level software component and algorithm design.,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000064,software engineering role,"Systematic application of scientific and technological knowledge, methods, and experience to the design, implementation, testing, and documentation of software.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000065,software project management role,"Planning, management, and monitoring of software projects.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000067,archivist role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000068,conservator role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000069,digital preservation role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000070,relationship,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000071,contributorship,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000072,data transformation role,"Aggregation, integration, manipulation of data.",,,,,,data manipulation role,
C,http://purl.obolibrary.org/obo/CRO_0000073,standards development role,,,,,,,standard development role,
C,http://purl.obolibrary.org/obo/CRO_0000074,data validation role,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000075,educational training role,,,,,,,formal training role,
C,http://purl.obolibrary.org/obo/CRO_0000076,IT hardware systems design and implementation role,,,,,,,information technology hardware systems design and implementation role,
C,http://purl.obolibrary.org/obo/CRO_0000077,systems administration role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000078,infrastructure role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000079,program evaluation role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000080,program administration role,Management and coordination responsibility for the research activity planning and execution.,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000081,research coordination role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000082,supervisory role,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000083,community engagement role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000084,outreach materials development role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000085,participant recruitment role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000086,research conceptualization role,,,,,,,Ideas; formulation or evolution of overarching research goals and aims.,
C,http://purl.obolibrary.org/obo/CRO_0000087,research technician role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000088,original draft preparation role,"Creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000089,lay synthesis of research output role,,,,,,,,
C,http://purl.obolibrary.org/obo/CRO_0000090,website maintenance role,,,,,,,,
