abbreviation/__text,type/_rdf:resource,label/_xml:lang,label/__text,_rdf:about,description/_rdf:datatype,description/__text
Th.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Th.M. Master of Theology,http://vivoweb.org/ontology/degree/academicDegree109,,
Ch.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Ch.E. Chemical Engineer,http://vivoweb.org/ontology/degree/academicDegree36,,
D.L.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.L.S. Doctor of Library Science,http://vivoweb.org/ontology/degree/academicDegree45,,
M.Th.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.Th. Master of Theology,http://vivoweb.org/ontology/degree/academicDegree93,,
B.C.L.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.C.L. Bachelor of Canon Law,http://vivoweb.org/ontology/degree/academicDegree16,,
Th.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Th.D. Doctor of Theology,http://vivoweb.org/ontology/degree/academicDegree108,,
M.C.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.C.E. Master of Civil Engineering,http://vivoweb.org/ontology/degree/academicDegree75,,
L.H.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,L.H.D. Doctor of Humane Letters,http://vivoweb.org/ontology/degree/academicDegree65,,
M.Mus.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.Mus. Master of Music,http://vivoweb.org/ontology/degree/academicDegree88,,
Psy.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Psy.D. Doctor of Psychology,http://vivoweb.org/ontology/degree/academicDegree119,,
F.R.S.C.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,F.R.C.S. Fellowship of the Royal College of Surgeons,http://vivoweb.org/ontology/degree/academicDegree135,,
B.S.F.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.S.F.S. Bachelor of Science in Forensic Science,http://vivoweb.org/ontology/degree/academicDegree136,,
M.I.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.I.A. Master of International Affairs,http://vivoweb.org/ontology/degree/academicDegree137,,
D.P.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.P.M. Doctor of Podiatric Medicine,http://vivoweb.org/ontology/degree/academicDegree139,,
Au.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Au.D. Doctor of Audiology,http://vivoweb.org/ontology/degree/academicDegree145,,
D.H.Ed.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.H.Ed. Doctor of Health Education,http://vivoweb.org/ontology/degree/academicDegree146,,
M.P.A.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.P.A.S. Master in Physician Assistant Studies,http://vivoweb.org/ontology/degree/academicDegree147,,
H.S.C.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,H.S.C. Higher School Certificate,http://vivoweb.org/ontology/degree/academicDegree149,,
