Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	BFO:0000031	IAO:0000602	(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] 	
WARN	annotation_whitespace	BFO:0000034	IAO:0000602	(forall (x) (if (Function x) (Disposition x))) // axiom label in BFO2 CLIF: [064-001] 	
WARN	annotation_whitespace	BFO:0000035	IAO:0000602	(forall (x) (if (ProcessBoundary x) (exists (y) (and (ZeroDimensionalTemporalRegion y) (occupiesTemporalRegion x y))))) // axiom label in BFO2 CLIF: [085-002] 	
WARN	annotation_whitespace	BFO:0000035	IAO:0000602	(iff (ProcessBoundary a) (exists (p) (and (Process p) (temporalPartOf a p) (not (exists (b) (properTemporalPartOf b a)))))) // axiom label in BFO2 CLIF: [084-001] 	
WARN	annotation_whitespace	BFO:0000038	IAO:0000602	(forall (x) (if (OneDimensionalTemporalRegion x) (TemporalRegion x))) // axiom label in BFO2 CLIF: [103-001] 	
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (MaterialEntity x) (IndependentContinuant x))) // axiom label in BFO2 CLIF: [019-002] 	
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt x y t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [021-002] 	
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt y x t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [020-002] 	
WARN	annotation_whitespace	BFO:0000140	IAO:0000602	(iff (ContinuantFiatBoundary a) (and (ImmaterialEntity a) (exists (b) (and (or (ZeroDimensionalSpatialRegion b) (OneDimensionalSpatialRegion b) (TwoDimensionalSpatialRegion b)) (forall (t) (locatedInAt a b t)))) (not (exists (c t) (and (SpatialRegion c) (continuantPartOfAt c a t)))))) // axiom label in BFO2 CLIF: [029-001] 	
WARN	annotation_whitespace	BFO:0000142	IAO:0000602	(iff (OneDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (OneDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [032-001] 	
WARN	annotation_whitespace	BFO:0000144	IAO:0000602	(forall (x y) (if (processProfileOf x y) (and (properContinuantPartOf x y) (exists (z t) (and (properOccurrentPartOf z y) (TemporalRegion t) (occupiesSpatioTemporalRegion x t) (occupiesSpatioTemporalRegion y t) (occupiesSpatioTemporalRegion z t) (not (exists (w) (and (occurrentPartOf w x) (occurrentPartOf w z))))))))) // axiom label in BFO2 CLIF: [094-005] 	
WARN	annotation_whitespace	BFO:0000144	IAO:0000602	(iff (ProcessProfile a) (exists (b) (and (Process b) (processProfileOf a b)))) // axiom label in BFO2 CLIF: [093-002] 	
WARN	annotation_whitespace	BFO:0000145	IAO:0000602	(iff (RelationalQuality a) (exists (b c t) (and (IndependentContinuant b) (IndependentContinuant c) (qualityOfAt a b t) (qualityOfAt a c t)))) // axiom label in BFO2 CLIF: [057-001] 	
WARN	annotation_whitespace	BFO:0000146	IAO:0000602	(iff (TwoDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (TwoDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [033-001] 	
WARN	annotation_whitespace	BFO:0000147	IAO:0000602	(iff (ZeroDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (ZeroDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [031-001] 	
WARN	annotation_whitespace	BFO:0000148	IAO:0000602	(forall (x) (if (ZeroDimensionalTemporalRegion x) (TemporalRegion x))) // axiom label in BFO2 CLIF: [102-001] 	
WARN	missing_definition	http://example.com/bfo-spec-label	IAO:0000115		
WARN	missing_definition	BFO:0000001	IAO:0000115		
WARN	missing_definition	BFO:0000002	IAO:0000115		
WARN	missing_definition	BFO:0000003	IAO:0000115		
WARN	missing_definition	BFO:0000006	IAO:0000115		
WARN	missing_definition	BFO:0000008	IAO:0000115		
WARN	missing_definition	BFO:0000009	IAO:0000115		
WARN	missing_definition	BFO:0000011	IAO:0000115		
WARN	missing_definition	BFO:0000016	IAO:0000115		
WARN	missing_definition	BFO:0000017	IAO:0000115		
WARN	missing_definition	BFO:0000018	IAO:0000115		
WARN	missing_definition	BFO:0000019	IAO:0000115		
WARN	missing_definition	BFO:0000023	IAO:0000115		
WARN	missing_definition	BFO:0000024	IAO:0000115		
WARN	missing_definition	BFO:0000026	IAO:0000115		
WARN	missing_definition	BFO:0000027	IAO:0000115		
WARN	missing_definition	BFO:0000028	IAO:0000115		
WARN	missing_definition	BFO:0000029	IAO:0000115		
WARN	missing_definition	BFO:0000030	IAO:0000115		
WARN	missing_definition	BFO:0000034	IAO:0000115		
WARN	missing_definition	BFO:0000038	IAO:0000115		
WARN	missing_definition	BFO:0000040	IAO:0000115		
WARN	missing_definition	BFO:0000134	IAO:0000115		
WARN	missing_definition	BFO:0000141	IAO:0000115		
WARN	missing_definition	BFO:0000142	IAO:0000115		
WARN	missing_definition	BFO:0000146	IAO:0000115		
WARN	missing_definition	BFO:0000147	IAO:0000115		
WARN	missing_definition	BFO:0000148	IAO:0000115		
WARN	missing_definition	BFO:0000182	IAO:0000115		
WARN	missing_definition	IAO:0000111	IAO:0000115		
WARN	missing_definition	IAO:0000112	IAO:0000115		
WARN	missing_definition	IAO:0000115	IAO:0000115		
WARN	missing_definition	IAO:0000116	IAO:0000115		
WARN	missing_definition	IAO:0000117	IAO:0000115		
WARN	missing_definition	IAO:0000118	IAO:0000115		
WARN	missing_definition	IAO:0000119	IAO:0000115		
WARN	missing_definition	IAO:0000232	IAO:0000115		
WARN	missing_definition	IAO:0000412	IAO:0000115		
WARN	missing_definition	IAO:0000600	IAO:0000115		
WARN	missing_definition	IAO:0000601	IAO:0000115		
WARN	missing_definition	IAO:0000602	IAO:0000115		
WARN	missing_definition	IAO:0010000	IAO:0000115		
INFO	lowercase_definition	BFO:0000004	IAO:0000115	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en	
INFO	lowercase_definition	BFO:0000015	IAO:0000115	p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en	
INFO	lowercase_definition	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en	
INFO	lowercase_definition	BFO:0000031	IAO:0000115	b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])@en	
INFO	lowercase_definition	BFO:0000035	IAO:0000115	p is a process boundary =Def. p is a temporal part of a process & p has no proper temporal parts. (axiom label in BFO2 Reference: [084-001])@en	
INFO	lowercase_definition	BFO:0000140	IAO:0000115	b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])@en	
INFO	lowercase_definition	BFO:0000144	IAO:0000115	b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])@en	
INFO	lowercase_definition	BFO:0000145	IAO:0000115	b is a relational quality = Def. for some independent continuants c, d and for some time t: b quality_of c at t & b quality_of d at t. (axiom label in BFO2 Reference: [057-001])@en	
INFO	missing_superclass	BFO:0000001	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000005	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000007	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000010	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000012	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000013	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000014	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000021	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000022	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000025	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000032	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000033	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000036	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000037	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000039	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000041	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000042	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000043	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000044	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000045	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000046	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000047	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000048	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000049	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000050	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000051	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000052	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000053	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000054	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000055	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000056	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000057	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000058	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000059	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000060	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000061	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000062	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000063	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000064	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000065	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000066	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000067	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000068	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000069	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000070	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000071	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000072	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000073	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000074	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000075	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000076	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000077	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000078	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000079	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000080	rdfs:subClassOf		
