t,s,l
Class,http://vivoweb.org/ontology/core#Newsletter,Newsletter
Class,http://vivoweb.org/ontology/core#NonAcademic,Non-Academic
Class,http://vivoweb.org/ontology/core#NonAcademicPosition,Non-Academic Position
Class,http://vivoweb.org/ontology/core#NonFacultyAcademic,Non-Faculty Academic
Class,http://vivoweb.org/ontology/core#NonFacultyAcademicPosition,Non-Faculty Academic Position
Class,http://vivoweb.org/ontology/core#OrganizerRole,Organizer Role
Class,http://vivoweb.org/ontology/core#OrganizingProcess,Organizing Process
Class,http://vivoweb.org/ontology/core#OutreachProviderRole,Outreach Provider Role
Class,http://vivoweb.org/ontology/core#PeerReviewerRole,Peer Reviewer Role
Class,http://vivoweb.org/ontology/core#PopulatedPlace,Populated Place
Class,http://vivoweb.org/ontology/core#Position,Position
Class,http://vivoweb.org/ontology/core#Postdoc,Postdoc
Class,http://vivoweb.org/ontology/core#PostdocOrFellowAdvisingRelationship,Postdoc or Fellow Advising Relationship
Class,http://vivoweb.org/ontology/core#PostdocPosition,Postdoctoral Position
Class,http://vivoweb.org/ontology/core#PostdoctoralTraining,Postdoctoral Training
Class,http://vivoweb.org/ontology/core#Presentation,Presentation
Class,http://vivoweb.org/ontology/core#PresenterRole,Presenter Role
Class,http://vivoweb.org/ontology/core#PresentingProcess,Presenting Process
Class,http://vivoweb.org/ontology/core#PrimaryPosition,Primary Position
Class,http://vivoweb.org/ontology/core#PrincipalInvestigatorRole,Principal Investigator Role
Class,http://vivoweb.org/ontology/core#PrivateCompany,Private Company
Class,http://vivoweb.org/ontology/core#Program,Program
Class,http://vivoweb.org/ontology/core#Project,Project
Class,http://vivoweb.org/ontology/core#Publisher,Publisher
Class,http://vivoweb.org/ontology/core#Relationship,Relationship
Class,http://vivoweb.org/ontology/core#ResearchOrganization,Research Organization
Class,http://vivoweb.org/ontology/core#ResearchProposal,Research Proposal
Class,http://vivoweb.org/ontology/core#ResearcherRole,Researcher Role
Class,http://vivoweb.org/ontology/core#Review,Review
Class,http://vivoweb.org/ontology/core#ReviewerRole,Reviewer Role
Class,http://vivoweb.org/ontology/core#Room,Room
Class,http://vivoweb.org/ontology/core#School,School
Class,http://vivoweb.org/ontology/core#Score,Score
Class,http://vivoweb.org/ontology/core#Screenplay,Screenplay
Class,http://vivoweb.org/ontology/core#SeminarSeries,Seminar Series
Class,http://vivoweb.org/ontology/core#ServiceProvidingLaboratory,Service Providing Lab
Class,http://vivoweb.org/ontology/core#Speech,Speech
Class,http://vivoweb.org/ontology/core#StateOrProvince,State or Province
Class,http://vivoweb.org/ontology/core#Student,Student
Class,http://vivoweb.org/ontology/core#StudentOrganization,Student Organization
Class,http://vivoweb.org/ontology/core#SubnationalRegion,Subnational Region
Class,http://vivoweb.org/ontology/core#TeacherRole,Teacher Role
Class,http://vivoweb.org/ontology/core#Team,Team
Class,http://vivoweb.org/ontology/core#Translation,Translation
Class,http://vivoweb.org/ontology/core#UndergraduateAdvisingRelationship,Undergraduate Advising Relationship
Class,http://vivoweb.org/ontology/core#UndergraduateStudent,Undergraduate Student
Class,http://vivoweb.org/ontology/core#University,University
Class,http://vivoweb.org/ontology/core#Video,Video
Class,http://vivoweb.org/ontology/core#WorkingPaper,Working Paper
Class,http://vivoweb.org/ontology/core#WorkshopSeries,Workshop Series
Class,http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial,Phase 0 Clinical Trial
Class,http://vivoweb.org/ontology/scientific-research#Phase1ClinicalTrial,Phase 1 Clinical Trial
Class,http://vivoweb.org/ontology/scientific-research#Phase2ClinicalTrial,Phase 2 Clinical Trial
Class,http://vivoweb.org/ontology/scientific-research#Phase3ClinicalTrial,Phase 3 Clinical Trial
Class,http://vivoweb.org/ontology/scientific-research#Phase4ClinicalTrial,Phase 4 Clinical Trial
Class,http://www.geneontology.org/formats/oboInOwl#DbXref,
Class,http://www.geneontology.org/formats/oboInOwl#Definition,
Class,http://www.geneontology.org/formats/oboInOwl#Synonym,
Class,http://www.geneontology.org/formats/oboInOwl#SynonymType,
Class,http://www.w3.org/2004/02/skos/core#Concept,Concept
Class,http://www.w3.org/2006/vcard/ns#Acquaintance,Acquaintance
Class,http://www.w3.org/2006/vcard/ns#Address,Address
Class,http://www.w3.org/2006/vcard/ns#Addressing,Addressing
Class,http://www.w3.org/2006/vcard/ns#Agent,Agent
Class,http://www.w3.org/2006/vcard/ns#Calendar,Calendar
Class,http://www.w3.org/2006/vcard/ns#CalendarBusy,Calendar Busy
Class,http://www.w3.org/2006/vcard/ns#CalendarLink,Calendar Link
Class,http://www.w3.org/2006/vcard/ns#CalendarRequest,Calendar Request
Class,http://www.w3.org/2006/vcard/ns#Category,Category
Class,http://www.w3.org/2006/vcard/ns#Cell,Cell
Class,http://www.w3.org/2006/vcard/ns#Child,Child
Class,http://www.w3.org/2006/vcard/ns#Code,Code
Class,http://www.w3.org/2006/vcard/ns#Colleague,Colleague
Class,http://www.w3.org/2006/vcard/ns#Communication,Communication
Class,http://www.w3.org/2006/vcard/ns#Contact,Contact
Class,http://www.w3.org/2006/vcard/ns#Coresident,Coresident
Class,http://www.w3.org/2006/vcard/ns#Coworker,Coworker
Class,http://www.w3.org/2006/vcard/ns#Crush,Crush
Class,http://www.w3.org/2006/vcard/ns#Date,Date
Class,http://www.w3.org/2006/vcard/ns#Email,Email
Class,http://www.w3.org/2006/vcard/ns#Emergency,Emergency
Class,http://www.w3.org/2006/vcard/ns#Explanatory,Explanatory
Class,http://www.w3.org/2006/vcard/ns#Fax,Fax
Class,http://www.w3.org/2006/vcard/ns#Female,Female
Class,http://www.w3.org/2006/vcard/ns#FormattedName,Formatted Name
Class,http://www.w3.org/2006/vcard/ns#Friend,Friend
Class,http://www.w3.org/2006/vcard/ns#Gender,Gender
Class,http://www.w3.org/2006/vcard/ns#Geo,Geo
Class,http://www.w3.org/2006/vcard/ns#Geographical,Geographical
Class,http://www.w3.org/2006/vcard/ns#Group,Group
Class,http://www.w3.org/2006/vcard/ns#Home,Home
Class,http://www.w3.org/2006/vcard/ns#Identification,Identification
Class,http://www.w3.org/2006/vcard/ns#Individual,Individual
Class,http://www.w3.org/2006/vcard/ns#InstantMessage,Messaging
Class,http://www.w3.org/2006/vcard/ns#Key,Key
Class,http://www.w3.org/2006/vcard/ns#Kin,Kin
Class,http://www.w3.org/2006/vcard/ns#Kind,VCard Kind
Class,http://www.w3.org/2006/vcard/ns#Language,Language
Class,http://www.w3.org/2006/vcard/ns#Location,Location
Class,http://www.w3.org/2006/vcard/ns#Logo,Logo
Class,http://www.w3.org/2006/vcard/ns#Male,Male
Class,http://www.w3.org/2006/vcard/ns#Me,Me
Class,http://www.w3.org/2006/vcard/ns#Met,Met
Class,http://www.w3.org/2006/vcard/ns#Muse,Muse
Class,http://www.w3.org/2006/vcard/ns#Name,Name
Class,http://www.w3.org/2006/vcard/ns#Neighbor,Neighbor
Class,http://www.w3.org/2006/vcard/ns#Nickname,Nickname
Class,http://www.w3.org/2006/vcard/ns#None,None
Class,http://www.w3.org/2006/vcard/ns#Note,Note
Class,http://www.w3.org/2006/vcard/ns#Organization,Organization
Class,http://www.w3.org/2006/vcard/ns#OrganizationName,Organization Name
Class,http://www.w3.org/2006/vcard/ns#OrganizationUnitName,Organizational Unit Name
Class,http://www.w3.org/2006/vcard/ns#Organizational,Organizational
Class,http://www.w3.org/2006/vcard/ns#Other,Other
Class,http://www.w3.org/2006/vcard/ns#Pager,Pager
Class,http://www.w3.org/2006/vcard/ns#Parent,Parent
Class,http://www.w3.org/2006/vcard/ns#Photo,Photo
Class,http://www.w3.org/2006/vcard/ns#Related,Related
Class,http://www.w3.org/2006/vcard/ns#RelatedType,Relation Type
