?parent_label	?label
"instrument"	"automated blood pressure cuff"
"instrument"	"automated colony counter"
"instrument"	"automated dewaxing and epitope recovery device "
"instrument"	"automated flow cell cluster generation station"
"instrument"	"automated light microscopy scan"
"instrument"	"automated mercury analysis system"
"instrument"	"automated microbiology analysis system"
"instrument"	"automatic coverslipper"
"instrument"	"automatic staining machine"
"instrument"	"automatic tissue processor"
"instrument"	"autosampler"@en
"instrument"	"balance"
"instrument"	"barcode labeler"
"instrument"	"barcode reader"
"instrument"	"bead array reader"
"instrument"	"bead-based multiplex"
"instrument"	"beveler machine"
"instrument"	"binocular display system"
"instrument"	"biobank picking station"
"instrument"	"biological safety cabinet"
"instrument"	"bioreactor"
"instrument"	"bipolar electrosurgical generator"
"instrument"	"blood analyzer"
"instrument"	"blood pressure transducer"
"instrument"	"blot module"@en
"instrument"	"blunt needle end delivery probe"
"instrument"	"body composition analyzer"
"instrument"	"c-mount"
"instrument"	"cage washer"
"instrument"	"calcium detector "
"instrument"	"calorimeter"
"instrument"	"capillary blotter"
"instrument"	"capillary column"@en
"instrument"	"carbon dioxide analyzer"
"instrument"	"carbon evaporator"
"instrument"	"carbon nanotube column"@en
"instrument"	"cascade impactor"
"instrument"	"cauters"
"instrument"	"cell harvester"
"instrument"	"cell selection device"
"instrument"	"cell separator"
"instrument"	"cell storage device"
"instrument"	"centrifuge"@en
"instrument"	"charge plate"@en
"instrument"	"chemical fume hood"
"instrument"	"chemical vapor deposition system"
"instrument"	"chemiluminescence analyzer"
"instrument"	"chemistry analyzer"
"instrument"	"chiller"
"instrument"	"chip programmer"
"instrument"	"chip reader"
"instrument"	"chip spotting device"
"instrument"	"chromatofocusing column"@en
"instrument"	"chromatography column"@en
"instrument"	"chromatography device"@en
"instrument"	"chromatography instrument"@en
"instrument"	"coagulation analyzer"
"instrument"	"cold room"
"instrument"	"colony picker"
"instrument"	"colposcope "
"instrument"	"comet assay analysis system "
"instrument"	"comparitor"
"instrument"	"compressor"
"instrument"	"computed tomography scanner"
"instrument"	"computer"@en
"instrument"	"controller"
"instrument"	"crash cart"
"instrument"	"critical point dryer"
"instrument"	"cryofixation device"
"instrument"	"cryogenic probe station"
"instrument"	"cryostage"
"instrument"	"cryostat"
"instrument"	"curette"
"instrument"	"custom made column"@en
"instrument"	"cyclotron "
"instrument"	"cytometer"@en
"instrument"	"dart gun"
"instrument"	"data acquisition system"
"instrument"	"data analysis workstation"
"instrument"	"decontamination chamber "
"instrument"	"defibrillator"
"instrument"	"denaturing high-performance liquid chromatography instrument"
"instrument"	"densitometer"
"instrument"	"dental instrument"
"instrument"	"diamond knife"
"instrument"	"differential pressure gauge"@en
"instrument"	"diffractometer"
"instrument"	"digital camera"
"instrument"	"digital recorder"
"instrument"	"digital recording transcribing kit"
"instrument"	"digital sleep recorder"
"instrument"	"digital-to-analog converter"@en
"instrument"	"digitizing tablet"
"instrument"	"diluter"
"instrument"	"dimpler"
"instrument"	"disintegrator"
"instrument"	"dissolution tester"
"instrument"	"door sensors"
"instrument"	"drill"
"instrument"	"drop shape analyzer"
"instrument"	"droplet sorter"@en
"instrument"	"dry pumping station"
"instrument"	"dynamometer"
"instrument"	"earphones"
"instrument"	"electrode puller"
"instrument"	"electrolyte analyzer"
"instrument"	"electrometer"
"instrument"	"electromyography device"
"instrument"	"electromyography stimulator"
"instrument"	"electron beam lithography system"
"instrument"	"electron beam physical vapor deposition system"
"instrument"	"electronic test equipment "
"instrument"	"electrophoresis system"
"instrument"	"electrophysiology data acquisition system"
"instrument"	"electrophysiology station"
"instrument"	"electroporator"
"instrument"	"electrosprayer"
"instrument"	"elemental analyzer"
"instrument"	"ellipsometer"
"instrument"	"embryo microinjection station "
"instrument"	"endoscopic workstation "
"instrument"	"endotoxin detector"
"instrument"	"engraving system"
"instrument"	"environmental chamber"
"instrument"	"environmental control system"
"instrument"	"exercise equipment"
"instrument"	"explosion-proof freezer"
"instrument"	"explosion-proof refrigerator"
"instrument"	"eye tracking device"
"instrument"	"fibrometer"
"instrument"	"field emission gun"
"instrument"	"field flow fractionator"
"instrument"	"film scanner"
"instrument"	"filtration system"
"instrument"	"flatbed scanner"
"instrument"	"flip chip bonder"
"instrument"	"flow cell"@en
"instrument"	"flow cytometer sorter"@en
"instrument"	"flow meter"
"instrument"	"fluid bed processor"
"instrument"	"fluid jet polisher"
"instrument"	"fluid measurement device"
"instrument"	"fluid pressure regulator"@en
"instrument"	"fluidics platform"
"instrument"	"fluidics station"
"instrument"	"fluorescence and luminescence assay detection system"
"instrument"	"fluorescence anisotropy analyzer"
"instrument"	"fluorescence molecular tomography platform "
"instrument"	"fluorescently labeled MHC multimer"
"instrument"	"focusing optics"
"instrument"	"force transducer"
"instrument"	"freeze substitution system"
"instrument"	"freeze-fracture device"
"instrument"	"freezer"
"instrument"	"frequency counter"
"instrument"	"fusion splicer"
"instrument"	"gamma camera "
"instrument"	"gamma counter"@en
"instrument"	"gas analysis system"
"instrument"	"gas mixer"
"instrument"	"gas sterilizer "
"instrument"	"gel dryer"@en
"instrument"	"gel imaging system"
"instrument"	"gel permeation column"@en
"instrument"	"gel tank"@en
"instrument"	"genotype analysis platform"
"instrument"	"glass column"@en
"instrument"	"glucometer"
"instrument"	"glucose analyzer"
"instrument"	"goniometer"
"instrument"	"hand brake"
"instrument"	"head-mounted display"
"instrument"	"hearing assistance system"
